"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"AuthenticationPolicyController","认证策略管理","认证策略管理-测试用例","1","0","50","0","0"
"AuthenticationPolicyController","认证策略管理","认证策略管理-主流程","0","0","22","0","0"
"OAuthController","删除软件信息","删除软件信息-测试用例","0","0","1","0","0"
"BlackListController","新增黑名单","新增黑名单-测试用例","0","0","9","0","0"
"OAuthController","添加SSO对接配置","添加SSO对接配置-测试用例","1","0","3","0","0"
"SoftwareController","添加软件信息","添加软件信息-测试用例","0","0","13","0","0"
"RedirectPoliciesController","Web重定向策略管理","Web重定向策略管理-主流程","0","0","8","0","0"
"SoftwareController","修改软件信息","修改软件信息-测试用例","0","0","16","0","0"
"RedirectPoliciesController","Web重定向策略管理","Web重定向策略管理-测试用例","1","0","11","0","0"
"OAuthController","修改SSO对接配置","修改SSO对接配置-测试用例","0","0","4","0","0"
"SoftwareController","批量删除软件安装信息","批量删除软件安装信息-测试用例","0","0","4","0","0"
"BlackListController","修改黑名单提示信息","修改黑名单提示信息-测试用例","0","0","13","0","0"
"SoftwareController","添加软件信息","添加软件信息-主流程","0","0","2","0","0"
"SoftwareController","清空单个软件的分类信息","清空单个软件的分类信息-主流程","0","0","1","0","0"
"OAuthController","修改SSO对接配置","修改SSO对接配置-主流程","0","0","1","0","0"
"OAuthController","添加SSO对接配置","添加SSO对接配置-主流程","0","0","3","0","0"
"BlackListController","修改黑名单提示信息","修改黑名单提示信息-主流程","0","0","3","0","0"
"SoftwareController","清空单个软件的分类信息","清空单个软件的分类信息-测试用例","0","0","2","0","0"
"SoftwareController","批量删除软件安装信息","批量删除软件安装信息-主流程","0","0","1","0","0"
"SoftwareController","删除软件信息","删除软件信息-测试用例","0","0","2","0","0"
"SoftwareController","删除软件信息","删除软件信息-主流程","0","0","2","0","0"
"BlackListController","批量失效黑名单","批量失效黑名单-主流程","0","0","1","0","0"
"SoftwareController","修改软件信息","修改软件信息-主流程","0","0","2","0","0"
"OAuthController","删除软件信息","删除软件信息-主流程","0","0","1","0","0"
"SoftwareController","变更软件的分类信息","变更软件的分类信息-测试用例","0","0","2","0","0"
"BlackListController","批量失效黑名单","批量失效黑名单-测试用例","0","0","4","0","0"
"SoftwareController","变更软件的分类信息","变更软件的分类信息-主流程","0","0","1","0","0"
"BlackListController","新增黑名单","新增黑名单-主流程","0","0","2","0","0"
