"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 29 17:55:26 CST 2020","Tue Sep 29 17:55:26 CST 2020","125","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyAdmin","test_addPolicyAdmin","Test_class","","","添加关联管理员-管理员id不存在，添加成功",""
"passed","Tue Sep 29 17:55:33 CST 2020","Tue Sep 29 17:55:33 CST 2020","103","testCase.SMP.authentication.AuthenticationPolicyController.batchDelauthenticationPolicies","test_batchDelauthenticationPolicies","Test_class","","","批量删除认证策略-部分ID均存在",""
"passed","Tue Sep 29 17:55:30 CST 2020","Tue Sep 29 17:55:30 CST 2020","111","testCase.SMP.authentication.AuthenticationPolicyController.addauthenticationPolicies","test_addauthenticationPolicies","Test_class","","","新增认证策略-所有字段都不为空，策略标签有3个值",""
"passed","Tue Sep 29 17:55:25 CST 2020","Tue Sep 29 17:55:25 CST 2020","147","testCase.SMP.authentication.AuthenticationPolicyController.addAuthenticationTypes","test_addAuthenticationTypes","Test_class","","","添加认证方式-添加多个，部分存在",""
"passed","Tue Sep 29 17:55:40 CST 2020","Tue Sep 29 17:55:41 CST 2020","79","testCase.SMP.authentication.OAuthController.deleteSSO","test_deleteSSO","Test_class","","","删除SSO对接配置-id不存在",""
"passed","Tue Sep 29 17:55:34 CST 2020","Tue Sep 29 17:55:34 CST 2020","51","testCase.SMP.authentication.AuthenticationPolicyController.deleteauthenticationRule","test_deleteauthenticationRule","Test_class","","","删除策略规则-规则id不存在",""
"passed","Tue Sep 29 17:55:39 CST 2020","Tue Sep 29 17:55:40 CST 2020","95","testCase.SMP.authentication.BlackListController.invalidblackLists","test_invalidblackLists","Test_class","","","使黑名单失效-Id存在,更新人用户",""
"passed","Tue Sep 29 17:55:36 CST 2020","Tue Sep 29 17:55:36 CST 2020","158","testCase.SMP.authentication.AuthenticationPolicyController.editTerminateInferior","test_editTerminateInferior","Test_class","","","修改终止低优先级策略标识-由true到false",""
"passed","Tue Sep 29 17:55:41 CST 2020","Tue Sep 29 17:55:41 CST 2020","120","testCase.SMP.authentication.OAuthController.getAllSSO","test_getAllSSO","Test_class","","","查询所有SSO对接配置-1条配置",""
"passed","Tue Sep 29 17:55:27 CST 2020","Tue Sep 29 17:55:28 CST 2020","131","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyAdmins","test_addPolicyAdmins","Test_class","","","批量添加关联管理员-添加一个重复的",""
"passed","Tue Sep 29 17:55:46 CST 2020","Tue Sep 29 17:55:46 CST 2020","102","testCase.SMP.authentication.SoftwareController.addSoftwareInfo","test_addsoftwareinfo","Test_class","","","typeBasis为auto",""
"passed","Tue Sep 29 17:55:42 CST 2020","Tue Sep 29 17:55:42 CST 2020","125","testCase.SMP.authentication.RedirectPoliciesController.addRedirectPolicies","test_addRedirectPolicies","Test_class","","","新增web重定向策略",""
"passed","Tue Sep 29 17:55:25 CST 2020","Tue Sep 29 17:55:25 CST 2020","119","testCase.SMP.authentication.AuthenticationPolicyController.addAuthenticationType","test_addAuthenticationType","Test_class","","","添加认证方式-策略id不存在",""
"passed","Tue Sep 29 17:55:37 CST 2020","Tue Sep 29 17:55:37 CST 2020","95","testCase.SMP.authentication.BlackListController.addblackLists","test_addblackLists","Test_class","","","添加黑名单",""
"passed","Tue Sep 29 17:55:50 CST 2020","Tue Sep 29 17:55:51 CST 2020","139","testCase.SMP.authentication.SoftwareController.editSoftwareInfo","test_editsoftware","Test_class","","","修改软件来源为自动获取",""
"passed","Tue Sep 29 17:55:35 CST 2020","Tue Sep 29 17:55:35 CST 2020","103","testCase.SMP.authentication.AuthenticationPolicyController.editPolicyDescribe","test_editPolicyDescribe","Test_class","","","修改策略描述-策略id不存在",""
"passed","Tue Sep 29 17:55:44 CST 2020","Tue Sep 29 17:55:44 CST 2020","61","testCase.SMP.authentication.RedirectPoliciesController.deleteRule","test_deleteRule","Test_class","","","删除策略规则-规则id不存在",""
"passed","Tue Sep 29 17:55:35 CST 2020","Tue Sep 29 17:55:35 CST 2020","142","testCase.SMP.authentication.AuthenticationPolicyController.editPolicyTerminateInferior","test_editPolicyTerminateInferior","Test_class","","","修改终止低优先级策略标识-策略id不存在",""
"passed","Tue Sep 29 17:55:51 CST 2020","Tue Sep 29 17:55:52 CST 2020","107","testCase.SMP.authentication.SoftwareController.editSoftwareInfo","test_editsoftware","Test_class","","","添加软件描述和厂商",""
"passed","Tue Sep 29 17:55:51 CST 2020","Tue Sep 29 17:55:51 CST 2020","158","testCase.SMP.authentication.SoftwareController.editSoftwareInfo","test_editsoftware","Test_class","","","修改软件大小",""
"passed","Tue Sep 29 17:55:28 CST 2020","Tue Sep 29 17:55:28 CST 2020","128","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyAuthType","test_addPolicyAuthType","Test_class","","","添加认证方式-认证方式为OAuth",""
"passed","Tue Sep 29 17:55:41 CST 2020","Tue Sep 29 17:55:42 CST 2020","140","testCase.SMP.authentication.OAuthController.updateSSO","test_updateSSO","Test_class","","","修改SSO对接配置-id不存在",""
"passed","Tue Sep 29 17:55:43 CST 2020","Tue Sep 29 17:55:44 CST 2020","143","testCase.SMP.authentication.RedirectPoliciesController.addwebRedirectPolicies","test_addwebRedirectPolicies","Test_class","","","新增web重定向策略-test01",""
"failed","Tue Sep 29 17:55:40 CST 2020","Tue Sep 29 17:55:40 CST 2020","25","testCase.SMP.authentication.OAuthController.addSSO_redirectUri","test_addsso_redirectUri","Test_class","","","添加SSO对接配置-URL不合法",""
"passed","Tue Sep 29 17:55:32 CST 2020","Tue Sep 29 17:55:32 CST 2020","224","testCase.SMP.authentication.AuthenticationPolicyController.addauthenticationRule","test_addauthenticationRule","Test_class","","","添加策略规则-规则脚本不合法",""
"passed","Tue Sep 29 17:55:34 CST 2020","Tue Sep 29 17:55:34 CST 2020","52","testCase.SMP.authentication.AuthenticationPolicyController.delauthenticationRule","test_delauthenticationRule","Test_class","","","删除策略规则-规则id存在",""
"passed","Tue Sep 29 17:55:28 CST 2020","Tue Sep 29 17:55:28 CST 2020","136","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyAuthType","test_addPolicyAuthType","Test_class","","","添加认证方式-认证方式为portalQrCodeAuth",""
"passed","Tue Sep 29 17:55:34 CST 2020","Tue Sep 29 17:55:34 CST 2020","48","testCase.SMP.authentication.AuthenticationPolicyController.deleteauthenticationRule","test_deleteauthenticationRule","Test_class","","","删除策略规则-规则id存在",""
"passed","Tue Sep 29 17:55:51 CST 2020","Tue Sep 29 17:55:51 CST 2020","198","testCase.SMP.authentication.SoftwareController.editSoftwareInfo","test_editsoftware","Test_class","","","修改软件描述",""
"passed","Tue Sep 29 17:55:43 CST 2020","Tue Sep 29 17:55:43 CST 2020","130","testCase.SMP.authentication.RedirectPoliciesController.addRule","test_addRule","Test_class","","","添加策略规则-规则名称已存在",""
"passed","Tue Sep 29 17:55:52 CST 2020","Tue Sep 29 17:55:52 CST 2020","159","testCase.SMP.authentication.SoftwareController.editSoftwareInfo","test_editsoftware","Test_class","","","去除软件版本和大小",""
"passed","Tue Sep 29 17:55:32 CST 2020","Tue Sep 29 17:55:32 CST 2020","221","testCase.SMP.authentication.AuthenticationPolicyController.addauthenticationRule","test_addauthenticationRule","Test_class","","","添加策略规则-规则名称重复",""
"passed","Tue Sep 29 17:55:36 CST 2020","Tue Sep 29 17:55:36 CST 2020","126","testCase.SMP.authentication.AuthenticationPolicyController.editTerminateInferior","test_editTerminateInferior","Test_class","","","修改终止低优先级策略标识-由false到false",""
"passed","Tue Sep 29 17:55:46 CST 2020","Tue Sep 29 17:55:46 CST 2020","133","testCase.SMP.authentication.SoftwareController.addSoftwareInfo","test_addsoftwareinfo","Test_class","","","软件名称过长",""
"passed","Tue Sep 29 17:55:48 CST 2020","Tue Sep 29 17:55:48 CST 2020","232","testCase.SMP.authentication.SoftwareController.batchDelSoftwareInstallInfo","test_batchDelSoftwareInstallInfo","Test_class","","","批量删除软件安装信息，ID多个，值存在",""
"passed","Tue Sep 29 17:55:27 CST 2020","Tue Sep 29 17:55:27 CST 2020","125","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyAdmins","test_addPolicyAdmins","Test_class","","","批量添加关联管理员-添加一个新的",""
"passed","Tue Sep 29 17:55:44 CST 2020","Tue Sep 29 17:55:44 CST 2020","125","testCase.SMP.authentication.RedirectPoliciesController.addwebRedirectPolicy","test_addwebRedirectPolicy","Test_class","","","新增web重定向策略",""
"passed","Tue Sep 29 17:55:39 CST 2020","Tue Sep 29 17:55:39 CST 2020","101","testCase.SMP.authentication.BlackListController.editInfoMessage","test_editInfoMessage","Test_class","","","修改提示信息，无到有，更新人admin",""
"passed","Tue Sep 29 17:55:35 CST 2020","Tue Sep 29 17:55:35 CST 2020","154","testCase.SMP.authentication.AuthenticationPolicyController.editPolicyDesc","test_editPolicyDesc","Test_class","","","修改策略描述-描述信息从有到无",""
"passed","Tue Sep 29 17:55:45 CST 2020","Tue Sep 29 17:55:45 CST 2020","120","testCase.SMP.authentication.SoftwareController.addSoftwareInfo","test_addsoftwareinfo","Test_class","","","添加软件成功",""
"passed","Tue Sep 29 17:55:29 CST 2020","Tue Sep 29 17:55:30 CST 2020","163","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyTag","test_addPolicyTag","Test_class","","","添加策略标签-标签已存在",""
"passed","Tue Sep 29 17:55:37 CST 2020","Tue Sep 29 17:55:37 CST 2020","122","testCase.SMP.authentication.BlackListController.addblackLists","test_addblackLists","Test_class","","","添加黑名单",""
"passed","Tue Sep 29 17:55:51 CST 2020","Tue Sep 29 17:55:51 CST 2020","181","testCase.SMP.authentication.SoftwareController.editSoftwareInfo","test_editsoftware","Test_class","","","修改软件厂商",""
